city,country,latitude,longitude
St. Croix,United States Virgin Islands,17.7289564,-64.75901597858353
Wurzburg,Germany,49.7933723,9.9309779
Sombor,Serbia,45.7727397,19.1147036
Lagos,Nigeria,6.4550575,3.3941795
Barcelona,Spain,41.3828939,2.1774322
Toronto,Canada,43.6534817,-79.3839347
Saint-Quentin,France,49.8465253,3.2876843
Athens,Greece,37.9755648,23.7348324
Kingston,Jamaica,17.9712148,-76.7928128
Slavonska Pozega,Croatia,45.3310723,17.6765332
Leverkusen,Germany,51.0324743,6.9881194
Johannesburg,South Africa,-26.205,28.049722
Yaounde,Cameroon,3.8689867,11.5213344
Paris,France,48.8588897,2.3200410217200766
Ljubljana,Slovenia,46.0500268,14.5069289
Izhevsk,Russia,56.86051745,53.197730742455306
Shanghai,China,31.2312707,121.4700152
Kinshasa,DR Congo,-4.3196982,15.3424196
Wau,South Sudan,7.7001398,27.9909335
Bahia Blanca,Argentina,-38.7176522,-62.2654871
Wiesbaden,Germany,50.0820384,8.2416556
Puerto Plata,Dominican Republic,19.7891616,-70.6926181
Geneva,Switzerland,46.2017559,6.1466014
Sao Carlos,Brazil,-22.0180395,-47.891154
Heacham,United Kingdom,52.9086926,0.4940848
Melbourne,Australia,-37.8142454,144.9631732
Villanueva de la Serena,Spain,38.9736819,-5.8003669
Aschaffenburg,Germany,49.9740542,9.1493636
Split,Croatia,43.5116383,16.4399659
Morges,Switzerland,46.5093268,6.498317
Panama City,Panama,8.9714493,-79.5341802
Kaunas,Lithuania,54.8982139,23.9044817
Rotorua,New Zealand,-38.1381493,176.252922
Bruges,Belgium,51.2085526,3.226772
Brazzaville,Congo Republic,-4.27250705,15.28303990586435
Prijepolje,Serbia,43.389209,19.6493525
Yalova,Türkiye,40.5928976,29.077611679403788
Douala,Cameroon,4.0429408,9.706203
Istanbul,Türkiye,41.006381,28.9758715
Cormeilles-en-Parisis,France,48.9759637,2.1998877
Madrid,Spain,40.4167047,-3.7035825
Den Helder,Netherlands,52.9529894,4.8267592494488
London,United Kingdom,51.4893335,-0.1440550845276872
Buenos Aires,Argentina,-34.6037181,-58.38153
Lodz,Poland,51.7728245,19.478485931307937
Sibenik,Croatia,43.7343845,15.8941361
Nassau,Bahamas,25.0782266,-77.3383438
Beirut,Lebanon,33.88922645,35.50255852895232
Utena,Lithuania,55.4984381,25.6025772
Vantaa,Finland,60.2933337,25.0407809
Sao Paulo,Brazil,-23.5506507,-46.6333824
Sant'Angelo Lodigiano,Italy,45.238067,9.408656
Joinville,Brazil,-26.3044898,-48.8486726
Santa Teresa,Brazil,-22.9215542,-43.1860269
Zurich,Switzerland,47.3744489,8.5410422
Triteni,Romania,44.4666137,26.1119387
Riga,Latvia,56.9493977,24.1051846
Liepaja,Latvia,56.5048435,21.0070903
Lisieux,France,49.1460831,0.2255168
Tuzla,Bosnia and Herzegovina,44.5391105,18.675193
Eindhoven,Netherlands,51.44855695,5.450122521857143
Adelaide,Australia,-34.9281805,138.5999312
Landstuhl,Germany,49.4143311,7.5722301
Mostar,Bosnia and Herzegovina,43.3435855,17.8076584
Celje,Slovenia,46.2293889,15.2616828
Montreal,Canada,45.5031824,-73.5698065
Giresun,Türkiye,40.6531617,38.5172032
Port-Au-Prince,Haiti,18.547327,-72.3395928
Vienna,Austria,48.2083537,16.3725042
Pordenone,Italy,45.9562503,12.6597197
Vancouver,Canada,49.2608724,-123.113952
Vevey,Switzerland,46.4602978,6.8418655
Santa Fe,Argentina,-30.3154739,-61.1645076
Eskisehir,Türkiye,39.7743941,30.519116
